beta_eff,gamma,seed,budget_nats,mse,r2,trustworthiness,jacobian_dim_pr,n_collapsed_kl,n_collapsed_var,kl_total
0.03333333333333333,0.5,42,0.2499086782336235,0.008342456072568893,-0.001460549293538671,0.9918978887763903,1.988271160860325,3,3,1.862237331806682e-05
0.03333333333333333,0.5,43,0.2499086782336235,0.008342796936631203,-0.0015014679280636045,0.9884166947913151,1.6426082840425826,3,3,1.4217599527910352e-05
0.03333333333333333,0.5,44,0.2499086782336235,0.008378483355045319,-0.005785403003830236,0.9869024637192035,2.7380151054021473,3,3,3.8956586649874225e-06
0.003333333333333333,0.049999999999999996,42,2.499086782336235,0.001993756741285324,0.7606617638838269,0.9997683278959013,2.7240573443309204,0,0,0.8152624368667603
0.003333333333333333,0.049999999999999996,43,2.499086782336235,0.0019204341806471348,0.7694636863888522,0.999750553118086,2.675241694768713,0,0,0.8145040273666382
0.003333333333333333,0.049999999999999996,44,2.499086782336235,0.0020681587047874928,0.7517302657028055,0.9997420032249597,2.693510729231603,0,0,0.8459516167640686
0.0003333333333333333,0.005,42,24.99086782336235,6.662411760771647e-05,0.9920021843884789,0.9999547380657742,2.628772297340222,0,0,3.957653760910034
0.0003333333333333333,0.005,43,24.99086782336235,5.226823122939095e-05,0.9937255202661835,0.9999829752128099,2.627295198292052,0,0,4.0471720695495605
0.0003333333333333333,0.005,44,24.99086782336235,6.26034670858644e-05,0.9924848387584996,0.9999634754565568,2.5369622149516933,0,0,4.133545875549316
3.3333333333333335e-05,0.0005,42,249.9086782336235,8.31734996609157e-06,0.9990015532843982,0.9998228897138786,2.7942970062979016,0,0,7.65433406829834
3.3333333333333335e-05,0.0005,43,249.9086782336235,9.252345989807509e-06,0.998889312761541,0.999971125360933,2.9317953181541787,0,0,7.634308815002441
3.3333333333333335e-05,0.0005,44,249.9086782336235,7.685794116696343e-06,0.9990773676803438,0.9999625379682754,2.905750756212407,0,0,7.708429336547852
3.3333333333333333e-06,5e-05,42,2499.086782336235,2.8748011118295835e-06,0.9996548978052124,0.9998945138185773,2.9011753237410276,0,0,14.168718338012695
3.3333333333333333e-06,5e-05,43,2499.086782336235,3.5980494885734515e-06,0.9995680762852249,0.9997472156598043,2.7616578159489222,0,0,13.611175537109375
3.3333333333333333e-06,5e-05,44,2499.086782336235,2.2001902379997773e-06,0.9997358806920731,0.999821914726066,2.845402539606505,0,0,13.737771034240723
